tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,video_url,visninger,likes,kommentarer,shares,gemmer,matched_candidate_name,is_candidate_match,candidate_match_type,profile_display_name_final,profile_party_name_final,profile_account_type_final,profile_followers,profile_total_likes,profile_antal_videoer,profile_hentet_dato,stats_status,stats_hentet_dato,engagements,engagement_rate,period_relative_to_2026_02_26,profile_tiktok_handle,profile_display_name,profile_party_name,profile_account_type,profile_følgere,profile_samlet_likes,stats_tiktok_handle,stats_followers,stats_total_likes,stats_display_name,stats_party_name,stats_account_type,display_name_norm,party_name_norm,storkreds_norm,candidate_name_from_list,candidate_party_from_list,candidate_storkreds_from_list,candidate_name_norm
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7618958318589021462,2026-03-19,Livet er ikke perfekt! ,https://www.tiktok.com/@alexvanopslagh/video/7618958318589021462,401600,28200,153,1046,1630,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,31029,0.07726344621513945,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7617472789422886166,2026-03-15,Vi vil ikke fjerne SU’en! ,https://www.tiktok.com/@alexvanopslagh/video/7617472789422886166,452200,25500,182,2095,1501,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,29278,0.06474568774878373,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620065369226546454,2026-03-22,Stem LA på tirsdag!,https://www.tiktok.com/@alexvanopslagh/video/7620065369226546454,55100,3774,35,297,183,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,4289,0.07784029038112522,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7620058256932752643,2026-03-22,"Danskerne skal have grøn, stabil energi.  Danmark skal have atomkraft!",https://www.tiktok.com/@alexvanopslagh/video/7620058256932752643,13800,1065,23,17,45,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,1150,0.08333333333333333,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619845327062945046,2026-03-21,,https://www.tiktok.com/@alexvanopslagh/video/7619845327062945046,50700,2302,50,188,80,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,2620,0.051676528599605524,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619788486379343126,2026-03-21,Det er en dårlig idé! ,https://www.tiktok.com/@alexvanopslagh/video/7619788486379343126,76200,3185,68,101,120,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,3474,0.04559055118110236,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619742591738809622,2026-03-21,Stem på en frisk start for Danmark den 24. marts🇩🇰,https://www.tiktok.com/@alexvanopslagh/video/7619742591738809622,173000,10200,68,1668,524,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,12460,0.07202312138728324,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619678403830091030,2026-03-21,Friheden er værd at forsvare og bevare. ,https://www.tiktok.com/@alexvanopslagh/video/7619678403830091030,8963,564,23,11,28,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,626,0.06984268660046859,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619665193072643331,2026-03-21,Atomkraft? Ja tak! ,https://www.tiktok.com/@alexvanopslagh/video/7619665193072643331,21000,962,34,22,34,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,1052,0.050095238095238095,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,kandidat,7619664793669995798,2026-03-21,😊,https://www.tiktok.com/@alexvanopslagh/video/7619664793669995798,83300,5551,60,350,209,Alex Vanopslagh,True,exact_display_party_storkreds,Alex Vanopslagh,Liberal Alliance,kandidat,60900.0,512800.0,,2026-03-22,ok,2026-03-22,6170,0.07406962785114046,after_2026_02_26,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,alexvanopslagh,60900,512800,Alex Vanopslagh,Liberal Alliance,kandidat,alex vanopslagh,liberal alliance,stjyllands storkreds,Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alex vanopslagh
